Study,Experiment,Temp,STD.Temp,Met,STD.Met,Cons,STD.Cons,Ratio,Species,Common.name,Source,plotchar,fillcol
7,17,12,0.85,12.84,-0.4,0.65,0.83,0.745,Strongylocentrotus deobachiensis,Green Sea Urchin - large,Siikavuopio et al 2008,22,black
7,17,14,1.42,14.28,-0.18,0.89,2.42,0.595,Strongylocentrotus deobachiensis,Green Sea Urchin - large,Siikavuopio et al 2008,22,black
8,18,11.5,-1.35,1.282,-0.9,9.662,-1.3,1.151,Basilichthys australis,Chilean silverside - juvenile,Fuentes et al 2005,23,grey
8,18,14,-0.88,1.056,-0.97,17.301,-0.87,0.968,Basilichthys australis,Chilean silverside - juvenile,Fuentes et al 2005,23,grey
8,18,18,-0.13,1.305,-0.89,18.765,-0.79,0.969,Basilichthys australis,Chilean silverside - juvenile,Fuentes et al 2005,23,grey
8,18,22,0.62,1.485,-0.83,18.632,-0.8,0.991,Basilichthys australis,Chilean silverside - juvenile,Fuentes et al 2005,23,grey
8,18,26,1.37,1.459,-0.84,24.61,-0.46,0.894,Basilichthys australis,Chilean silverside - juvenile,Fuentes et al 2005,23,grey
8,19,11.5,-1.35,5.475,0.54,29.175,-0.2,1.195,Basilichthys australis,Chilean Silverside - adult,Fuentes et al 2005,23,black
8,19,18,-0.13,4.46,0.19,52.371,1.11,0.821,Basilichthys australis,Chilean Silverside - adult,Fuentes et al 2005,23,black
8,19,18,-0.13,6.716,0.96,57.02,1.37,0.925,Basilichthys australis,Chilean Silverside - adult,Fuentes et al 2005,23,black
8,19,22,0.62,8.553,1.59,52.057,1.09,1.099,Basilichthys australis,Chilean Silverside - adult,Fuentes et al 2005,23,black
8,19,26,1.37,7.207,1.13,48.13,0.87,1.055,Basilichthys australis,Chilean Silverside - adult,Fuentes et al 2005,23,black
9,20,5,-1.31,41.51,-0.89,14.06,-1.54,0.23,Oncorhynchus nerka,Sockey Salmon,Brett 1971,23,white
9,20,10,-0.63,58.28,-0.62,23.9,0.34,0.16,Oncorhynchus nerka,Sockey Salmon,Brett 1971,23,white
9,20,15,0.05,70.32,-0.42,25.9,0.72,0.21,Oncorhynchus nerka,Sockey Salmon,Brett 1971,23,white
9,20,20,0.74,117.5,0.35,26.91,0.91,0.46,Oncorhynchus nerka,Sockey Salmon,Brett 1971,23,white
9,20,23,1.15,193.41,1.59,19.9,-0.43,1.64,Oncorhynchus nerka,Sockey Salmon,Brett 1971,23,white
