Student ID,Strain,Treatment,ColonyCount,HaloLawn
A14,TA102,Strep,0,Y
A14,TA102,His,0,Y
A15,421,Strep,0,Y
A15,421,His,0,Y
A15,899,Strep,0,Y
A15,899,His,0,Y
A15,712,Strep,0,N
A15,712,His,0,Y
A15,881,Strep,0,Y
A15,881,His,0,Y
A15,TA102,Strep,0,Y
A15,TA102,His,0,Y
A16,421,Strep,0,N
A16,421,His,0,Y
A16,899,Strep,0,Y
A16,899,His,0,Y
A16,712,Strep,0,N
A16,712,His,0,Y
A16,881,Strep,0,Y
A16,881,His,0,Y
A16,TA102,Strep,0,Y
A16,TA102,His,0,Y
A17,421,Strep,0,Y
A17,421,His,0,Y
A17,899,Strep,0,N
A17,899,His,0,Y
A17,712,Strep,0,N
A17,712,His,0,N
A17,881,Strep,0,Y
A17,881,His,0,Y
A17,TA102,Strep,0,Y
A17,TA102,His,0,N
A2,421,Strep,0,NA
A2,421,His,0,NA
A2,899,Strep,0,NA
A2,899,His,0,NA
A2,712,Strep,0,NA
A2,712,His,0,NA
A2,881,Strep,0,NA
A2,881,His,0,NA
A2,TA102,Strep,0,NA
A2,TA102,His,0,NA
A3,421,Strep,0,Y
A3,899,Strep,0,N
A3,712,Strep,0,NA
A3,712,His,0,Y
A3,881,Strep,0,N
A4,421,His,0,N
A4,899,Strep,0,NA
A4,899,His,0,NA
A4,712,Strep,0,N
A4,712,His,0,NA
A4,881,Strep,0,N
A4,881,His,0,NA
A4,TA102,Strep,0,Y
A4,TA102,His,0,Y
A5,421,Strep,0,Y
A5,421,His,0,Y
A5,899,Strep,0,N
A5,899,His,0,Y
A5,712,Strep,0,N
A5,712,His,0,NA
A5,881,Strep,0,N
A5,881,His,0,NA
A5,TA102,Strep,0,Y
A5,TA102,His,0,Y
A6,421,Strep,0,Y
A6,421,His,0,Y
A6,899,Strep,0,Y
A6,899,His,0,Y
A6,712,Strep,0,N
A6,712,His,0,Y
A6,881,Strep,0,NA
A6,881,His,0,NA
A6,TA102,Strep,0,Y
A6,TA102,His,0,Y
A7,421,Strep,0,N
A7,421,His,0,Y
A7,899,Strep,0,N
A7,899,His,0,Y
A7,712,Strep,0,N
A7,712,His,0,Y
A7,881,Strep,0,Y
A7,881,His,0,Y
A7,TA102,Strep,0,Y
A7,TA102,His,0,Y
A8,421,Strep,0,Y
A8,421,His,0,Y
A8,899,Strep,0,Y
A8,899,His,0,Y
A8,712,Strep,0,N
A8,712,His,0,Y
A8,881,Strep,0,Y
A8,881,His,0,Y
A8,TA102,Strep,0,Y
A8,TA102,His,0,Y
A9,421,Strep,0,Y
A9,421,His,0,Y
A9,899,Strep,0,N
A9,899,His,0,Y
A9,712,Strep,0,N
A9,712,His,0,Y
A9,881,Strep,0,Y
A9,881,His,0,Y
A9,TA102,Strep,0,Y
A9,TA102,His,0,Y
B1,421,Strep,0,Y
B1,421,His,0,Y
B1,899,Strep,0,Y
B1,899,His,0,Y
B1,712,Strep,0,N
B1,712,His,0,Y
B1,881,Strep,0,Y
B1,881,His,0,Y
B1,TA102,Strep,0,Y
B1,TA102,His,0,Y
B10,421,Strep,0,N
B10,421,His,0,Y
B10,899,Strep,0,N
B10,899,His,0,Y
B10,712,Strep,0,N
B10,712,His,0,Y
B10,881,Strep,0,NA
B10,881,His,0,NA
B10,TA102,Strep,0,NA
B10,TA102,His,0,NA
B11,421,Strep,0,Y
B11,421,His,0,Y
B11,899,Strep,0,N
B11,899,His,0,Y
B11,712,Strep,0,N
B11,712,His,0,Y
B11,881,Strep,0,Y
B11,881,His,0,Y
B11,TA102,Strep,0,Y
B11,TA102,His,0,Y
B12,421,Strep,0,Y
B12,421,His,0,Y
B12,899,Strep,0,N
B12,899,His,0,Y
B12,712,Strep,0,N
B12,712,His,0,Y
B12,881,Strep,0,Y
B12,881,His,0,Y
B12,TA102,Strep,0,Y
B12,TA102,His,0,Y
B13,421,Strep,0,NA
B13,421,His,0,NA
B13,899,Strep,0,NA
B13,899,His,0,Y
B13,712,Strep,0,N
B13,712,His,0,Y
B13,881,Strep,0,NA
B13,881,His,0,NA
B13,TA102,Strep,0,Y
B13,TA102,His,0,Y
B14,421,Strep,0,Y
B14,421,His,0,Y
B14,899,Strep,0,N
B14,899,His,0,Y
B14,712,Strep,0,N
B14,712,His,0,Y
B14,881,Strep,0,Y
B14,881,His,0,Y
B14,TA102,Strep,0,Y
B14,TA102,His,0,Y
B15,421,Strep,0,Y
B15,421,His,0,Y
B15,899,Strep,0,N
B15,899,His,0,Y
B15,712,Strep,0,N
B15,712,His,0,Y
B15,881,Strep,0,Y
B15,881,His,0,Y
B15,TA102,Strep,0,Y
B15,TA102,His,0,Y
B16,421,Strep,0,N
B16,421,His,0,Y
B16,899,Strep,0,N
B16,899,His,0,Y
B16,712,Strep,0,N
B16,712,His,0,Y
B16,881,Strep,0,Y
B16,881,His,0,Y
B16,TA102,Strep,0,Y
B16,TA102,His,0,Y
B17,421,Strep,0,Y
B17,421,His,0,Y
B17,899,Strep,0,N
B17,899,His,0,Y
B17,712,Strep,0,N
B17,712,His,0,Y
B17,881,Strep,0,Y
B17,881,His,0,Y
B17,TA102,Strep,0,Y
B17,TA102,His,0,Y
B2,421,Strep,0,Y
B2,421,His,0,Y
B2,899,Strep,0,Y
B2,899,His,0,Y
B2,712,Strep,0,N
B2,712,His,0,Y
B2,881,Strep,0,Y
B2,881,His,0,Y
B2,TA102,Strep,0,Y
B2,TA102,His,0,Y
B3,421,Strep,0,Y
B3,421,His,0,Y
