633,267,MTD71,Gasterosteus aculeatus,three-spined stickleback,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus
634,268,MTD72,Gasterosteus aculeatus,three-spined stickleback,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus
635,269,MTD73,Gasterosteus aculeatus,three-spined stickleback,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus
636,270,MTD74,Gasterosteus aculeatus,three-spined stickleback,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus
637,271,MTD75,Lepomis macrochirus,bluegill,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus
643,272,MTD76,Lepomis macrochirus,bluegill,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus
650,273,MTD77,Lepomis macrochirus,bluegill,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus
656,274,MTD78,Lepomis macrochirus,bluegill,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus
662,275,MTD79,'artificial ''fish'' model','artificial ''fish'' model',NA,NA,NA,NA,NA,NA,NA
665,276,MTD80,'artificial ''fish'' model','artificial ''fish'' model',NA,NA,NA,NA,NA,NA,NA
668,277,MTD81,'artificial ''fish'' model','artificial ''fish'' model',NA,NA,NA,NA,NA,NA,NA
671,278,MTD82,'artificial ''fish'' model','artificial ''fish'' model',NA,NA,NA,NA,NA,NA,NA
674,279,MTD83,Micropterus salmoides,largemouth bass,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,Micropterus salmoides
682,280,MTD84,Micropterus salmoides,largemouth bass,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,Micropterus salmoides
690,281,MTD85,Micropterus salmoides,largemouth bass,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,Micropterus salmoides
698,283,MTD86,Oncorhynchus mykiss,rainbow trout,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss
704,287,MTD87,Chaoborus americanus,phantom midge,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus americanus
708,288,MTD88,Chaoborus trivittatus,phantom midge,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus trivittatus
712,289,MTD89,Chaoborus trivittatus,phantom midge,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus trivittatus
716,290,MTD90,Chaoborus trivittatus,phantom midge,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus trivittatus
720,293,MTD91,Notonecta glauca,back-swimmer,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,Notonecta glauca
725,297,MTD92,Notonecta glauca,back-swimmer,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,Notonecta glauca
730,301,MTD93,Gymnocephalus cernuus,ruffe,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Gymnocephalus,Gymnocephalus cernuus
735,302,MTD94,Gymnocephalus cernuus,ruffe,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Gymnocephalus,Gymnocephalus cernuus
740,303,MTD95,Perca flavescens,yellow perch,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Perca,Perca flavescens
744,304,MTD96,Perca flavescens,yellow perch,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Perca,Perca flavescens
748,305,MTD97,Perca flavescens,yellow perch,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Perca,Perca flavescens
752,307,MTD98,Polinices duplicatus,'shark''s eye',Animalia,Mollusca,Gastropoda,Sorbeoconcha,Naticidae,Polinices,Polinices duplicatus
778,308,MTD99,Pisaster ochraceus,purple ochre seastar,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus
793,309,MTD100,Nucella lapillus,dog whelk,Animalia,Mollusca,Gastropoda,Sorbeoconcha,Muricidae,Nucella,Nucella lapillus
798,310,MTD101,Nucella lapillus,dog whelk,Animalia,Mollusca,Gastropoda,Sorbeoconcha,Muricidae,Nucella,Nucella lapillus
806,311,MTD102,Nucella lapillus,dog whelk,Animalia,Mollusca,Gastropoda,Sorbeoconcha,Muricidae,Nucella,Nucella lapillus
812,312,MTD103,Carcinus maenas,green crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,Carcinus maenas
862,317,MTD104,Callinectes sapidus,blue crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes sapidus
865,318,MTD105,Callinectes sapidus,blue crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes sapidus
868,332,MTD106,Callinectes sapidus,blue crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes sapidus
871,333,MTD107,Callinectes sapidus,blue crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes sapidus
874,341,MTD108,Callinectes sapidus,blue crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes sapidus
877,342,MTD109,Callinectes sapidus,blue crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes sapidus
931,345,MTD110,Callinectes sapidus,blue crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes sapidus
982,349,MTD111,Farfantepenaeus paulensis,pink shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus,Farfantepenaeus paulensis
988,350,MTD112,Mytilus edulis,blue mussel,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis
993,351,MTD113,Acartia hudsonica,calanoid copepod,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia hudsonica
1076,434,MTD114,Hiatella arctica,wrinkled rock borer,Animalia,Mollusca,Bivalvia,Myoida,Hiatellidae,Hiatella,Hiatella arctica
1085,435,MTD115,Pisaster ochraceus,purple ochre seastar,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus
1087,436,MTD116,Crangon septemspinosa,sand shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon septemspinosa
1089,437,MTD117,Crangon septemspinosa,sand shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon septemspinosa
1091,438,MTD118,Chionoecetes opilio,snow crab,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,Chionoecetes opilio
1098,439,MTD119,Carcinus maenas,green crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,Carcinus maenas
1115,440,MTD120,Rutilus penicillus,feather duster worm,Animalia,Annelida,Polychaeta,Canalipalpata,Sabellidae,Rutilus,NA
1139,442,MTD121,Dendraster excentricus,western sand dollar,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,Dendraster excentricus
1141,443,MTD122,Rutilus penicillus,feather duster worm,Animalia,Annelida,Polychaeta,Canalipalpata,Sabellidae,Rutilus,NA
1159,444,MTD123,Nucella lapillus,dog whelk,Animalia,Mollusca,Gastropoda,Sorbeoconcha,Muricidae,Nucella,Nucella lapillus
1162,445,MTD124,Centropages typicus,calanoid copepod,Animalia,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,Centropages typicus
1164,446,MTD125,Centropages typicus,calanoid copepod,Animalia,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,Centropages typicus
1166,447,MTD126,Centropages typicus,calanoid copepod,Animalia,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,Centropages typicus
1168,448,MTD127,Centropages typicus,calanoid copepod,Animalia,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,Centropages typicus
1170,449,MTD128,Dendrodoa grossularia,sea squirt,Animalia,Chordata,Ascidiacea,Pleurogona,Styelidae,Dendrodoa,Dendrodoa grossularia
1173,450,MTD129,Crangon septemspinosa,sand shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon septemspinosa
1175,451,MTD130,Crangon septemspinosa,sand shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon septemspinosa
1177,452,MTD131,Crangon septemspinosa,sand shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon septemspinosa
1179,453,MTD132,Crangon septemspinosa,sand shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon septemspinosa
1181,454,MTD133,Crangon septemspinosa,sand shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon septemspinosa
1183,455,MTD134,Crangon septemspinosa,sand shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon septemspinosa
1185,456,MTD135,Blennius pholis,shanny,Animalia,Chordata,Actinopterygii,Perciformes,Blennidae,Blennius,Blennius pholis
1209,457,MTD136,Urosalpinx cinerea,atlantic oyster drill,Animalia,Mollusca,Gastropoda,Sorbeoconcha,Muricidae,Urosalpinx,Urosalpinx cinerea
1221,461,MTD137,Urosalpinx cinerea,atlantic oyster drill,Animalia,Mollusca,Gastropoda,Sorbeoconcha,Muricidae,Urosalpinx,Urosalpinx cinerea
1231,464,MTD138,gravity,gravity,NA,NA,NA,NA,NA,NA,NA
1233,465,MTD139,Melanogrammus aeglefinus,atlantic haddock,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus
1236,466,MTD140,Clupea harengus,atlantic herring,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus
1239,467,MTD141,Celleporella hyalina,bryozoan,Animalia,Ectoprocta,Gymnolaemata,Cheilostomata,Hippothoidae,Celleporella,Celleporella hyalina
1242,468,MTD142,Nucella canaliculata,dog whelk,Animalia,Mollusca,Gastropoda,Sorbeoconcha,Muricidae,Nucella,Nucella canaliculata
1244,469,MTD143,Haliotis midae,south african abalone,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotididae,Haliotis,Haliotis midae
